id,ticker,source,signal_time,entry_price,take_profit,stop_loss,status,close_time,close_price,pnl_pct
1,SPCX,,2026-08-31 15:54:22,142.99,150.14,140.13,sl_hit,2026-09-02 10:02:03,138.8,-2.93
2,PLUG,,2026-09-02 13:43:09,2.1,2.2,2.05,tp_hit,2026-09-08 09:41:24,2.21,5.24
3,LENZ,most_shorted_stocks,2026-09-09 13:28:27,5.18,5.44,5.08,sl_hit,2026-09-09 13:51:59,5.07,-2.03
4,BAK,small_cap_gainers,2026-09-09 13:52:09,2.04,2.14,1.99,sl_hit,2026-09-09 14:22:10,1.98,-2.94
5,KLXER,small_cap_gainers,2026-09-09 15:14:53,0.13,0.14,0.13,sl_hit,2026-09-09 15:57:26,0.13,-0.0
6,KLXER,small_cap_gainers,2026-09-10 10:25:32,0.13,0.14,0.13,sl_hit,2026-09-10 10:40:48,0.13,-3.08
7,FOUR,day_gainers,2026-09-10 13:18:12,43.03,45.18,42.17,tp_hit,2026-09-11 10:59:35,45.29,5.26
8,MLYS,,2026-09-10 13:30:23,30.2,31.71,29.6,sl_hit,2026-09-10 14:59:38,29.51,-2.28
9,SAM,small_cap_gainers,2026-09-11 11:30:44,171.63,180.22,168.2,open,,,
10,EPRX,small_cap_gainers,2026-09-11 13:37:34,8.36,8.78,8.2,open,,,
